ResidentID,Age,ModeOfTransport,DailyDistance (km),CarbonEmissionFactor(kg CO?/km) ,Average Day per Month
A153,32,Bicycle,8,0,23
A138,32,Bicycle,7,0,29
A118,32,Bicycle,8,0,20
A103,32,Bicycle,8,0,23
A088,32,Bicycle,7,0,28
A068,32,Bicycle,8,0,22
A053,32,Bicycle,8,0,28
A038,32,Bicycle,7,0,27
A018,32,Bicycle,8,0,21
A178,33,Bicycle,6,0,30
A158,33,Bicycle,6,0,28
A128,33,Bicycle,6,0,24
A108,33,Bicycle,6,0,21
A078,33,Bicycle,6,0,27
A058,33,Bicycle,6,0,27
A028,33,Bicycle,6,0,25
A008,33,Bicycle,7,0,25
A198,34,Bicycle,7,0,24
A148,34,Bicycle,7,0,29
A098,34,Bicycle,7,0,28
A048,34,Bicycle,7,0,27
A001,34,Car,15,0.21,25
A176,35,Bus,10,0.05,23
A152,35,Bus,11,0.05,27
A126,35,Bus,10,0.05,22
A102,35,Bus,11,0.05,25
A076,35,Bus,10,0.05,25
A052,35,Bus,11,0.05,23
A026,35,Bus,10,0.05,25
A191,36,Car,14,0.21,23
A161,36,Car,14,0.21,22
A141,36,Car,14,0.21,20
A111,36,Car,14,0.21,27
A091,36,Car,14,0.21,30
A061,36,Car,14,0.21,28
A041,36,Car,15,0.21,23
A011,36,Car,14,0.21,22
A171,37,Car,14,0.21,24
A156,37,Bus,12,0.05,23
A121,37,Car,14,0.21,24
A106,37,Bus,12,0.05,23
A071,37,Car,14,0.21,27
A056,37,Bus,12,0.05,20
A021,37,Car,14,0.21,22
A186,38,Bus,12,0.05,27
A166,38,Bus,12,0.05,27
A136,38,Bus,12,0.05,25
A116,38,Bus,12,0.05,21
A086,38,Bus,12,0.05,27
A066,38,Bus,12,0.05,23
A036,38,Bus,12,0.05,26
A005,38,Car,20,0.21,21
A196,39,Bus,12,0.05,25
A146,39,Bus,12,0.05,29
A096,39,Bus,12,0.05,26
A046,39,Bus,12,0.05,23
A016,39,Bus,13,0.05,27
A181,40,Car,15,0.21,30
A131,40,Car,15,0.21,29
A081,40,Car,15,0.21,26
A031,40,Car,15,0.21,26
A162,41,Bus,13,0.05,22
A112,41,Bus,13,0.05,27
A062,41,Bus,13,0.05,24
A012,41,Bus,11,0.05,26
A192,42,Bus,11,0.05,29
A142,42,Bus,11,0.05,27
A092,42,Bus,11,0.05,30
A042,42,Bus,11,0.05,26
A002,42,Bus,12,0.05,26
A182,43,Bus,13,0.05,21
A132,43,Bus,13,0.05,27
A082,43,Bus,13,0.05,22
A032,43,Bus,13,0.05,29
A172,44,Bus,12,0.05,26
A122,44,Bus,12,0.05,25
A072,44,Bus,12,0.05,23
A022,44,Bus,12,0.05,29
A009,45,Walking,5,0,20
A187,46,Car,20,0.21,21
A167,46,Car,19,0.21,29
A137,46,Car,20,0.21,20
A117,46,Car,19,0.21,24
A087,46,Car,20,0.21,27
A067,46,Car,19,0.21,27
A037,46,Car,20,0.21,28
A157,47,Car,20,0.21,20
A107,47,Car,20,0.21,25
A057,47,Car,20,0.21,26
A017,47,Car,20,0.21,29
A197,48,Car,19,0.21,20
A147,48,Car,19,0.21,20
A097,48,Car,19,0.21,20
A047,48,Car,19,0.21,29
A177,49,Car,21,0.21,27
A127,49,Car,21,0.21,30
A077,49,Car,21,0.21,23
A027,49,Car,22,0.21,21
A007,50,Car,18,0.21,28
A179,51,Walking,5,0,28
A129,51,Walking,5,0,27
A079,51,Walking,5,0,26
A029,51,Walking,5,0,25
A199,52,Walking,5,0,22
A149,52,Walking,5,0,25
A099,52,Walking,5,0,26
A049,52,Walking,5,0,26
A154,53,Walking,4,0,26
A104,53,Walking,4,0,26
A054,53,Walking,4,0,26
A019,53,Walking,3,0,28
A189,54,Walking,4,0,25
A169,54,Walking,3,0,27
A139,54,Walking,4,0,20
A119,54,Walking,3,0,26
A089,54,Walking,4,0,27
A069,54,Walking,3,0,22
A039,54,Walking,4,0,30
A194,55,Walking,3,0,29
A159,55,Walking,5,0,25
A144,55,Walking,3,0,27
A109,55,Walking,5,0,22
A094,55,Walking,3,0,26
A059,55,Walking,5,0,24
A044,55,Walking,3,0,30
A004,55,Walking,3,0,23
A174,56,Walking,4,0,21
A124,56,Walking,4,0,26
A074,56,Walking,4,0,25
A024,56,Walking,4,0,24
A184,57,Walking,3,0,23
A134,57,Walking,3,0,28
A084,57,Walking,3,0,27
A034,57,Walking,3,0,24
A164,58,Walking,4,0,25
A114,58,Walking,4,0,22
A064,58,Walking,4,0,23
A014,58,Walking,4,0,28
